,Crime_ID,Theft_Type
1373,2154,Theft from Vehicle
1374,2156,Theft from Vehicle
1376,2158,Theft from Vehicle
1377,2160,Theft from Vehicle
1379,2167,Theft of Bicycle
1380,2168,Theft from Vehicle
1382,2172,Theft of Bicycle
1383,2173,Theft of Vehicle
1384,2177,Theft from Vehicle
1385,2178,Theft from Vehicle
1386,2179,Theft of Bicycle
1387,2180,Theft of Bicycle
1389,2184,Theft of Vehicle
1390,2185,Theft of Bicycle
1391,2189,Theft from Vehicle
1392,2192,Theft from Vehicle
1393,2194,Theft of Bicycle
1394,2199,Theft of Vehicle
1396,2202,Theft of Bicycle
1397,2203,Theft of Vehicle
1399,2206,Theft of Vehicle
1400,2207,Other Theft
1402,2211,Theft of Vehicle
1403,2212,Theft from Vehicle
1404,2213,Theft of Vehicle
1405,2214,Other Theft
1406,2215,Theft from Vehicle
1408,2217,Other Theft
1409,2218,Theft of Vehicle
1410,2219,Theft of Vehicle
1411,2222,Theft of Vehicle
1412,2223,Theft of Vehicle
1413,2225,Theft of Vehicle
1414,2226,Theft of Vehicle
1415,2228,Theft of Vehicle
1416,2229,Theft of Vehicle
1418,2233,Theft from Vehicle
1419,2234,Theft of Vehicle
1420,2236,Theft from Vehicle
1421,2237,Theft from Vehicle
1422,2240,Theft of Vehicle
1423,2244,Theft of Vehicle
1426,2249,Theft of Vehicle
1427,2250,Theft from Vehicle
1430,2253,Other Theft
1431,2255,Theft from Vehicle
1434,2260,Theft of Vehicle
1435,2261,Theft of Vehicle
